policy,t,turnover,cost_t,cost_acum
g_worst,119,9.161508357502512e-18,3.360558101030663e-09,0.002500396565735894
g_worst,120,1.6160033380896444e-16,3.360558101030446e-09,0.002500399926293995
g_worst,121,1.6810554684387746e-16,3.360558101030446e-09,0.002500403286852096
g_worst,122,1.3471211993132393e-17,3.360558101030229e-09,0.002500406647410197
g_worst,123,4.580754178751256e-18,3.360558101030554e-09,0.0025004100079682977
g_worst,124,2.3852447794681098e-18,3.360558101030446e-09,0.0025004133685263986
g_worst,125,9.161508357502512e-18,3.360558101030663e-09,0.0025004167290844995
g_worst,126,1.6160033380896444e-16,3.360558101030446e-09,0.0025004200896426004
g_worst,127,1.6810554684387746e-16,3.360558101030446e-09,0.0025004234502007013
g_worst,128,1.3688052427629493e-17,3.360558101030229e-09,0.002500426810758802
g_worst,129,4.336808689942018e-18,3.3605581010306625e-09,0.002500430171316903
g_worst,130,2.6291902682773483e-18,3.3605581010303375e-09,0.002500433531875004
g_worst,131,9.703609443745265e-18,3.3605581010302287e-09,0.002500436892433105
g_worst,132,1.6189848940639795e-16,3.360558101030554e-09,0.0025004402529912057
g_worst,133,1.616545439175887e-16,3.360558101030554e-09,0.0025004436135493066
g_worst,134,1.6664187391102203e-16,3.360558101030554e-09,0.0025004469741074075
g_worst,135,1.534959225696353e-16,3.360558101030446e-09,0.0025004503346655084
g_worst,136,1.8539857149502126e-17,3.360558101030446e-09,0.0025004536952236093
g_worst,137,3.7594710330934866e-17,3.360558101030446e-09,0.00250045705578171
g_worst,138,4.342229700804445e-17,3.360558101030554e-09,0.002500460416339811
g_worst,139,3.63207727782644e-18,3.360558101030446e-09,0.002500463776897912
g_worst,140,1.7780915628762273e-16,3.360558101030337e-09,0.002500467137456013
g_worst,141,3.1170812458958252e-18,3.3605581010303375e-09,0.0025004704980141138
g_worst,142,1.6843080749562311e-16,3.360558101030337e-09,0.0025004738585722146
g_worst,143,1.6146480853740375e-16,3.360558101030337e-09,0.0025004772191303155
g_worst,144,1.5978429517005122e-16,3.3605581010306625e-09,0.0025004805796884164
g_worst,145,1.5810378180269868e-16,3.360558101030446e-09,0.0025004839402465173
g_worst,146,1.693523793422358e-16,3.3605581010303375e-09,0.002500487300804618
g_worst,147,8.321251673826247e-18,3.360558101030446e-09,0.002500490661362719
g_worst,148,2.2768245622195593e-18,3.360558101030554e-09,0.00250049402192082
g_worst,149,1.2170169386149787e-17,3.360558101030771e-09,0.002500497382478921
g_worst,150,1.7848678264542617e-16,3.360558101030554e-09,0.002500500743037022
g_worst,151,1.2126801299250367e-16,3.3605581010302287e-09,0.0025005041035951227
g_worst,152,1.3747683547116196e-16,3.3605581010303375e-09,0.0025005074641532236
g_worst,153,1.2197274440461925e-18,3.3605581010306625e-09,0.0025005108247113245
g_worst,154,2.0057740190981832e-18,3.3605581010304454e-09,0.0025005141852694254
g_worst,155,1.5121909800741573e-16,3.3605581010301203e-09,0.0025005175458275263
g_worst,156,5.911612345477213e-17,3.360558101030554e-09,0.002500520906385627
g_worst,157,1.6081428723391245e-16,3.3605581010302287e-09,0.002500524266943728
g_worst,158,1.607058670166639e-16,3.360558101030554e-09,0.002500527627501829
g_worst,159,1.5902535364931136e-16,3.3605581010305538e-09,0.00250053098805993
g_worst,160,1.6168164897190085e-16,3.360558101030446e-09,0.0025005343486180307
g_worst,161,1.618713843520858e-16,3.3605581010306625e-09,0.0025005377091761316
g_worst,162,1.5685694930434035e-16,3.360558101030337e-09,0.0025005410697342325
g_worst,163,1.9577980729656996e-16,3.360558101030446e-09,0.0025005444302923334
