setup,t,costo_t,costo_acum
opt_base,103,3.6509228490559132e-09,0.0016015300779716117
opt_base,104,3.622094121646009e-09,0.0016015337000657333
opt_base,105,3.4768598968507608e-09,0.00160153717692563
opt_base,106,3.404038094815988e-09,0.0016015405809637249
opt_base,107,3.404367750162358e-09,0.001601543985331475
opt_base,108,3.4440373371655554e-09,0.0016015474293688122
opt_base,109,3.4904835745596488e-09,0.0016015509198523867
opt_base,110,3.7224632427740626e-09,0.0016015546423156295
opt_base,111,3.864392612264008e-09,0.0016015585067082419
opt_base,112,4.366704423063241e-09,0.0016015628734126648
opt_base,113,3.5079941820963197e-09,0.0016015663814068469
opt_base,114,3.41058496494643e-09,0.001601569791991812
opt_base,115,3.402784911016852e-09,0.001601573194776723
opt_base,116,3.4128396502319264e-09,0.0016015766076163732
opt_base,117,3.7307921143344365e-09,0.0016015803384084874
opt_base,118,3.849010697088904e-09,0.0016015841874191846
opt_base,119,0.00010705770770191785,0.0017086418951211026
opt_base,120,2.1281808145665437e-08,0.0017086631769292482
opt_base,121,4.102665045566408e-08,0.0017087042035797038
opt_base,122,1.9747955621298275e-05,0.001728452159201002
opt_base,123,2.8599410155654482e-08,0.0017284807586111577
opt_base,124,1.1865006901007537e-08,0.0017284926236180588
opt_base,125,2.7226418460275173e-05,0.0017557190420783339
opt_base,126,1.599482609637393e-07,0.0017558789903392975
opt_base,127,1.5792326114684232e-08,0.0017558947826654123
opt_base,128,9.337394876206249e-09,0.0017559041200602885
opt_base,129,6.761819266188058e-09,0.0017559108818795547
opt_base,130,5.5398718201676865e-09,0.0017559164217513749
opt_base,131,5.3393753459504575e-09,0.0017559217611267208
opt_base,132,4.569917354129155e-09,0.0017559263310440748
opt_base,133,4.0594160938602375e-09,0.0017559303904601687
opt_base,134,3.7079182837789034e-09,0.0017559340983784525
opt_base,135,3.5261354871648752e-09,0.0017559376245139396
opt_base,136,3.403342388712438e-07,0.001756277958752811
opt_base,137,1.2379073925734987e-06,0.0017575158661453844
opt_base,138,2.604343065183925e-08,0.0017575419095760363
opt_base,139,2.4350594583547117e-08,0.0017575662601706198
opt_base,140,1.0372709165666824e-08,0.0017575766328797855
opt_base,141,6.544280242778304e-09,0.0017575831771600282
opt_base,142,4.722623964032966e-09,0.0017575878997839922
opt_base,143,4.053132493893717e-09,0.0017575919529164861
opt_base,144,3.685180103340325e-09,0.0017575956380965895
opt_base,145,3.496414970652286e-09,0.0017575991345115602
opt_base,146,4.859457308415671e-05,0.0018061937075957168
opt_base,147,3.066834886241804e-08,0.0018062243759445792
opt_base,148,1.515031368566478e-08,0.001806239526258265
opt_base,149,1.2769141417040436e-08,0.0018062522953996819
opt_base,150,8.943413799712044e-09,0.0018062612388134816
opt_base,151,7.39071364663096e-09,0.001806268629527128
opt_base,152,5.73435991250002e-09,0.0018062743638870406
opt_base,153,4.616825871016979e-09,0.0018062789807129116
opt_base,154,4.1650206076664335e-09,0.0018062831457335193
opt_base,155,4.107580291553035e-09,0.0018062872533138109
opt_base,156,4.3849446860806114e-09,0.0018062916382584969
opt_base,157,3.884549299107722e-09,0.001806295522807796
