asset,lambda,m,label,t,w
SPX,1.8,0.01,high_lambda_low_m,55,0.7146581471234992
SPX,1.8,0.01,high_lambda_low_m,56,0.8819524240974836
SPX,1.8,0.01,high_lambda_low_m,57,0.7153063373401997
SPX,1.8,0.01,high_lambda_low_m,58,0.8687992222848485
SPX,1.8,0.01,high_lambda_low_m,59,0.851340124085721
SPX,1.8,0.01,high_lambda_low_m,60,0.7270170722978567
SPX,1.8,0.01,high_lambda_low_m,61,0.9602711552828201
SPX,1.8,0.01,high_lambda_low_m,62,0.8795854867958399
SPX,1.8,0.01,high_lambda_low_m,63,0.7608692576215419
SPX,1.8,0.01,high_lambda_low_m,64,0.8284081003997349
SPX,1.8,0.01,high_lambda_low_m,65,0.8237538447467644
SPX,1.8,0.01,high_lambda_low_m,66,0.7157822258157187
SPX,1.8,0.01,high_lambda_low_m,67,0.8748265138694452
SPX,1.8,0.01,high_lambda_low_m,68,0.7997231486695302
SPX,1.8,0.01,high_lambda_low_m,69,0.9149950213635444
SPX,1.8,0.01,high_lambda_low_m,70,0.7032065357694709
SPX,1.8,0.01,high_lambda_low_m,71,0.6408843428608241
SPX,1.8,0.01,high_lambda_low_m,72,0.6408486344307879
SPX,1.8,0.01,high_lambda_low_m,73,0.972825959228334
SPX,1.8,0.01,high_lambda_low_m,74,0.553353690387361
SPX,1.8,0.01,high_lambda_low_m,75,0.8385112852634113
SPX,1.8,0.01,high_lambda_low_m,76,0.5824624037641768
SPX,1.8,0.01,high_lambda_low_m,77,0.9999999286374468
SPX,1.8,0.01,high_lambda_low_m,78,0.948276898219578
SPX,1.8,0.01,high_lambda_low_m,79,0.9999999837232928
SPX,1.8,0.01,high_lambda_low_m,80,0.968307269326323
SPX,1.8,0.01,high_lambda_low_m,81,0.9325635839874941
SPX,1.8,0.01,high_lambda_low_m,82,0.9104601379236668
SPX,1.8,0.01,high_lambda_low_m,83,0.6818267968086302
SPX,1.8,0.01,high_lambda_low_m,84,0.7770657194265584
SPX,1.8,0.01,high_lambda_low_m,85,0.8122849533395394
